dataset_part;id;smiles1;smiles2;parts_1;parts_2;total_parts
data0013;5414;CNC(O)C(CCCCN)NC(C)O.CNC(O)C1CCCN1C(C)O;CNC(O)C(CC1CCCCC1)NC(C)O;2;1;3
data0013;28009;CNC(O)C(CCC(O)O)NC(O)C(C)NC(C)O.CNC(O)C(CCCCN)NC(C)O;CNC(O)C(CC(N)O)NC(C)O;2;1;3
data0013;35221;CNC(O)C(CC1CCC(O)CC1)NC(C)O.CNC(O)C1CCCN1C(O)C(C)NC(C)O;CNC(O)C(NC(C)O)C(C)C;2;1;3
data0013;39646;CNC(O)C(CC(N)O)NC(C)O;CNC(O)C(NC(C)O)C(C)O.CNC(O)C1CCCN1C(C)O;1;2;3
data0013;40610;CNC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(CO)NC(C)O.OS(O)(O)O;1;2;3
data0014;5596;CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CCC(O)O)NC(O)C(CCCCN)NC(C)O.O;1;2;3
data0014;8309;CNC(O)C(CO)NC(C)O.CNC(O)C(NC(C)O)C(C)O;CNC(O)C(CS)NC(C)O;2;1;3
data0014;16228;CNC(O)C(CCCCN)NC(C)O.CNC(O)C(NC(O)CNC(O)C(CCC(O)O)NC(C)O)C(C)C;CNC(O)C(CC(C)C)NC(O)C(CCCNC(N)N)NC(O)C1CCCN1C(O)C(CC(C)C)NC(C)O;2;1;3
data0014;21443;CNC(O)C(CCC(O)O)NC(O)CNC(O)C(CO)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CCC(C)C(NC(O)C(CCCCN)NC(C)O)C(O)NC;2;1;3
data0014;31573;CNC(O)C(NC(O)C(CCCCN)NC(O)C(CO)NC(C)O)C(C)C.CNC(O)C1CCCN1C(O)C(CC(O)O)NC(C)O;OCC(O)CO;2;1;3
data0014;34345;CNC(O)C(CC(C)C)NC(C)O.CNC(O)C(NC(O)C(CCCNC(N)N)NC(C)O)C(C)O;CNC(O)C(CC(O)O)NC(C)O;2;1;3
data0014;36570;CCCC1C(C)NC2NC3CCCCC3N2C1O.CNC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(CC1CNC2CCCCC12)NC(C)O;2;1;3
data0015;6005;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CO)NC(O)C(CCSC)NC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(O)C(CCCCN)NC(C)O;2;1;3
data0015;46993;CNC(O)C(CC1CCC(O)CC1)NC(C)O.CNC(O)C(CCC(O)O)NC(C)O;CNC(O)C(NC(C)O)C(C)C;2;1;3
data0016;1782;CNC(O)C(C)NC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(C)O.CNC(O)C(CCC(O)O)NC(C)O;1;2;3
data0016;18792;CNC(O)C(CC1CNC2CCCCC12)NC(C)O;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CO)NC(O)C(CO)NC(C)O;1;2;3
data0016;27615;CNC(O)C(CC1CCC(O)CC1)NC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;1;2;3
data0016;28058;CNC(O)C(CC1CNCN1)NC(C)O.CNC(O)C(CO)NC(C)O;CNC(O)C(CC(C)C)NC(C)O;2;1;3
data0016;34789;CNC(O)C(CC1CCCCC1)NC(O)C(C)NC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(O)C(CC1CCCCC1)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;1;2;3
data0016;39927;CNC(O)C(CO)NC(C)O.O;CNC(O)C(CO)NC(C)O;2;1;3
data0017;11692;CNC(O)C(CCCCN)NC(C)O.CNC(O)C(NC(C)O)C(C)C;CNC(O)C(CCC(N)O)NC(C)O;2;1;3
data0017;25224;CNC(O)C(CC(C)C)NC(O)C(CO)NC(O)C(CCCNC(N)N)NC(O)C(CO)NC(C)O.CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(C)O;2;1;3
data0017;25745;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCC(N)O)NC(C)O;CNC(O)C(CCCCN)NC(C)O;2;1;3
data0017;43013;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CCC(N)O)NC(C)O;2;1;3
data0018;3011;CCC(C)C(NC(O)C(CCCNC(N)N)NC(C)O)C(O)NC.CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CCCNC(N)N)NC(C)O;2;1;3
data0018;15398;CNC(O)C(CCC(O)O)NC(C)O.O;CNC(O)C(CC(O)O)NC(C)O;2;1;3
data0018;27230;NC1CCN(C2OC(COP(O)O)C(O)C2O)C(O)N1.NC1CCN(C2OC(CO[PH](O)(O)O)C(O)C2O)C(O)N1;NC1NC(O)C2NCN(C3OC(CO[PH](O)(O)O)C(O)C3O)C2N1;2;1;3
data0018;27807;CNC(O)C(CC1CCCCC1)NC(C)O.CNC(O)CNC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(C)O;2;1;3
data0018;35898;CNC(O)C1CCCN1C(O)C1CCCN1C(O)C(CCC(N)O)NC(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;1;2;3
data0018;45232;NC1CCN(C2OC(CO[PH](O)(O)O)C(O)C2O)C(O)N1.OC1CCN(C2OC(CO[PH](O)(O)O)C(O)C2O)C(O)N1;NC1NC(O)C2NCN(C3OC(CO[PH](O)(O)O)C(O)C3O)C2N1;2;1;3
data0018;48476;CNC(O)C(CCSC)NC(O)C(CCCNC(N)N)NC(C)O.O;CNC(O)C(CC1CCC(O)CC1)NC(O)CNC(O)C1CCCN1C(O)C(NC(C)O)C(C)C.O;2;2;4
data0019;2804;CNC(O)C(CCC(O)O)NC(O)C(CCC(O)O)NC(C)O.O;CNC(O)C(C)NC(C)O;2;1;3
data0019;6361;CNC(O)C1CCCN1C(O)C(CC(O)O)NC(C)O.O;CNC(O)C(CC1CCC(O)CC1)NC(O)C(CC(C)C)NC(C)O;2;1;3
data0019;9471;CNC(O)CNC(C)O.CNC(O)CNC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(C)O;2;1;3
data0019;10035;CNC(O)C(CCCNC(N)N)NC(C)O.CNC(O)C(NC(O)C(CCC(O)O)NC(C)O)C(C)C;CNC(O)C(CC(C)C)NC(C)O;2;1;3
data0019;11973;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CCCNC(N)N)NC(C)O;2;1;3
data0019;39318;CNC(O)C(CC(C)C)NC(C)O;CNC(O)C(CCCNC(N)N)NC(C)O.CNC(O)C(NC(C)O)C(C)O;1;2;3
data0019;39549;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CC1CCC(O)CC1)NC(O)C(CCC(O)O)NC(C)O;CNC(O)C(CO)NC(O)C(CC1CCC(O)CC1)NC(C)O;2;1;3
data0019;49040;CNC(O)C(CC1CNCN1)NC(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCCN)NC(C)O;1;2;3
data0020;20564;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(CC(C)C)NC(C)O;2;1;3
data0020;27972;CNC(O)C(CC(O)O)NC(C)O.CNC(O)CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CO)NC(C)O;2;1;3
data0020;40854;CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(NC(O)C(CO)NC(O)CNC(O)C(CC1CCCCC1)NC(O)CNC(C)O)C(C)O.OC1CCN(C2CC(O)C(CO[PH](O)(O)N[PH](O)(O)O[PH](O)(O)O)O2)C(O)N1;1;2;3
data0020;44675;CNC(O)C(CO)NC(C)O.CNC(O)C(NC(C)O)C(C)O;CNC(O)C(CC(N)O)NC(C)O;2;1;3
data0020;45595;CNC(O)C(CC1CNC2CCCCC12)NC(C)O.CNC(O)C(CC1CNCN1)NC(C)O.CNC(O)C(CO)NC(C)O;CNC(O)C(CC1CCC(O)CC1)NC(C)O;3;1;4
data0021;1251;CNC(O)C(CCC(O)O)NC(O)C(C)NC(C)O.CNC(O)C(CO)NC(O)C(CCCCN)NC(C)O;CNC(O)C(CC(C)C)NC(C)O;2;1;3
data0021;7283;CNC(O)C(CC(N)O)NC(C)O;CNC(O)C(C)NC(C)O.CNC(O)C(CCCCN)NC(C)O;1;2;3
data0021;7494;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CO)NC(C)O;2;1;3
data0021;18568;CNC(O)C(CC(C)C)NC(O)CNC(O)C(CC1CCC(O)CC1)NC(C)O.ON(O)C1CCCC(C(NCC2CCCCC2)[PH](O)(O)O)C1;CNC(O)C(CC1CNC2CCCCC12)NC(C)O;2;1;3
data0021;18676;CNC(O)C(NC(C)O)C(C)C;CNC(O)C1CCCN1C(O)CNC(C)O.O;1;2;3
data0021;24836;CNC(O)C(CC(C)C)NC(O)C(CCCNC(N)N)NC(C)O.CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CCC(N)O)NC(C)O;2;1;3
data0021;29259;CCC(C)C(NC(O)CNC(O)C(CC1CCCCC1)NC(C)O)C(O)NC;CNC(O)C(CCCNC(N)N)NC(C)O.OS(O)(O)O;1;2;3
data0021;30964;CNC(O)C(CC1CCC(O)CC1)NC(C)O;CCC(C)C(NC(C)O)C(O)NC.CNC(O)C(NC(C)O)C(C)C;1;2;3
data0021;47389;CNC(O)C1CCCN1C(C)O;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;1;2;3
data0022;3603;CNC(O)C(CCCCN)NC(O)C(CC(C)C)NC(C)O.CNC(O)C1CCCN1C(O)C1CCCN1C(O)C(CCSC)NC(C)O;CNC(O)CNC(O)C(CC(O)O)NC(C)O;2;1;3
data0022;4931;CNC(O)C(CC(C)C)NC(C)O;CCC(C)C(NC(C)O)C(O)NC.CNC(O)C(CC1CCC(O)CC1)NC(C)O;1;2;3
data0022;5068;CCC(C)C(NC(C)O)C(O)NC;CNC(O)C(CCCNC(N)N)NC(C)O.O;1;2;3
data0022;5264;CNC(O)C(CC1CCC(O)CC1)NC(C)O;CNC(O)C(NC(C)O)C(C)O.CNC(O)CNC(C)O;1;2;3
data0023;2505;CNC(O)CNC(C)O;CNC(O)C(CC1CNCN1)NC(C)O.CNC(O)C(CCCCN)NC(C)O;1;2;3
data0023;16728;CNC(O)C(C)NC(C)O;CCOCCO.CNC(O)C(CCCNC(N)N)NC(O)C(C)NC(C)O;1;2;3
data0023;29180;CNC(O)C(CC(N)O)NC(O)C(NC(C)O)C(C)O;CNC(O)C(CC1CNCN1)NC(C)O.CNC(O)C1CCCN1C(C)O.O;1;3;4
data0023;36294;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CCCCN)NC(C)O;CNC(O)C(CO)NC(C)O;2;1;3
data0023;44518;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CO)NC(C)O;CNC(O)C(CC(N)O)NC(C)O;2;1;3
data0024;7143;CNC(O)C(NC(C)O)C(C)O;CNC(O)C(CCCNC(N)N)NC(C)O.CNC(O)CNC(C)O;1;2;3
data0024;7526;CNC(O)C(CC1CNCN1)NC(C)O.CNC(O)C(CCC(O)O)NC(C)O;CNC(O)C(NC(C)O)C(C)C;2;1;3
data0024;14500;CNC(O)C(CS)NC(C)O.NC(CO[PH](O)(O)O)C(O)O;CNC(O)C(CC1CNCN1)NC(C)O;2;1;3
data0024;15097;CNC(O)C(CC(N)O)NC(O)C(CC(C)C)NC(C)O.CNC(O)C(CCC(N)O)NC(C)O;CNC(O)C(C)NC(C)O;2;1;3
data0024;24065;CNC(O)C(CCC(N)O)NC(O)CNC(O)C(CCC(O)O)NC(C)O.NC1NC(O)C2NCN(C3CC(O)C(CO[PH](O)(O)O)O3)C2N1;CCC(C)C(NC(C)O)C(O)NC;2;1;3
data0024;24277;CNC(O)C(CC(C)C)NC(C)O.CNC(O)C(CC1CCC(O)CC1)NC(O)C(CCC(N)O)NC(C)O;CNC(O)CNC(O)C(CCSC)NC(C)O;2;1;3
data0024;24727;CNC(O)C(CC1CCC(O)CC1)NC(C)O.CNC(O)CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CCC(O)O)NC(C)O;2;1;3
data0024;35553;CNC(O)C(CCC(N)O)NC(C)O.CNC(O)C(NC(O)CNC(O)C(CCC(N)O)NC(O)CNC(C)O)C(C)O;CNC(O)C(CSSCC(NC(C)O)C(O)NC)NC(C)O;2;1;3
data0024;42417;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CCCNC(N)N)NC(C)O;2;1;3
data0024;42801;CCCCC(SC1NC(O)CC(C2CCCCC2)N1)C(O)O.CNC(O)C(CO)NC(C)O;CNC(O)C(CCCNC(N)N)NC(C)O;2;1;3
data0024;44285;CNC(O)C(CCC(N)O)NC(C)O;CNC(O)C(CC1CCCCC1)NC(O)C(CCC(O)O)NC(O)C(CC(O)O)NC(C)O.O;1;2;3
data0025;16405;CNC(O)C(CCC(N)O)NC(C)O.NCC1(C2CCC3C(N)NCNN32)OC(CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)C(O)C1O;CNC(O)C(CCCNC(N)N)NC(C)O;2;1;3
data0025;22804;CNC(O)C(CC(O)O)NC(C)O.O;CCC(C)C(NC(O)C(CO)NC(C)O)C(O)NC(CC1CCCCC1)C(O)NC;2;1;3
data0025;25282;CNC(O)C(CCCNC(N)N)NC(O)C(CCCCN)NC(C)O;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CO)NC(O)C1CCCN1C(C)O;1;2;3
data0026;358;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CC1CNCN1)NC(C)O;CNC(O)C(CCCNC(N)N)NC(C)O;2;1;3
data0026;1162;NC1NC(O)C2NCN(C3OC(CO[PH](O)(O)O)C(O)C3O)C2N1.OC1CCN(C2OC(COP(O)O)C(O)C2O)C(O)N1;NC1NC(O)C2NCN(C3OC(CO[PH](O)(O)OC4C(CO[PH](O)(O)O)OC(N5CNC6C(N)NCNC65)C4O)C(O)C3O)C2N1;2;1;3
data0026;3455;CNC(O)C(CC(O)O)NC(C)O.CNC(O)C(CCCNC(N)N)NC(C)O;CNC(O)C(CO)NC(C)O;2;1;3
data0026;5215;CNC(O)C(CC(O)O)NC(C)O;CNC(O)C(CCC(O)O)NC(C)O.CNC(O)C(CO)NC(C)O;1;2;3
